;CAT;DESCRICAO
1678;V99;Acidente de transporte não especificado
1679;W00;Queda no mesmo nível envolvendo gelo e neve
1680;W01;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]
1681;W02;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas
1682;W03;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa
1683;W04;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s)
1684;W05;Queda envolvendo uma cadeira de rodas
1685;W06;Queda de um leito
1686;W07;Queda de uma cadeira
1687;W08;Queda de outro tipo de mobília
1688;W09;"Queda envolvendo equipamento de ""playground"""
1689;W10;Queda em ou de escadas ou degraus
1690;W11;Queda em ou de escadas de mão
1691;W12;Queda em ou de um andaime
1692;W13;Queda de ou para fora de edifícios ou outras estruturas
1693;W14;Queda de árvore
1694;W15;Queda de penhasco
1695;W16;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão
1696;W17;Outras quedas de um nível a outro
1697;W18;Outras quedas no mesmo nível
1698;W19;Queda sem especificação
1699;W20;Impacto causado por objeto lançado, projetado ou em queda
1700;W21;Impacto acidental ativo ou passivo causado por equipamento esportivo
1701;W22;Impacto acidental ativo ou passivo causado por outros objetos
1702;W23;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos
1703;W24;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte
1704;W25;Contato com vidro cortante
1705;W26;Contato com faca, espada e punhal
1706;W27;Contato com ferramentas manuais sem motor
1707;W28;Contato com segadeira motorizada para cortar ou aparar a grama
1708;W29;Contato com outros utensílios manuais e aparelhos domésticos equipados com motor
1709;W30;Contato com maquinaria agrícola
1710;W31;Contato com outras máquinas e com as não especificadas
1711;W32;Projétil de revólver
1712;W33;Rifle, espingarda e armas de fogo de maior tamanho
1713;W34;Projéteis de outras armas de fogo e das não especificadas
1714;W35;Explosão ou ruptura de caldeira
1715;W36;Explosão ou ruptura de cilindro de gás
1716;W37;Explosão ou ruptura de pneumático, tubulação ou mangueira, pressurizados
1717;W38;Explosão ou ruptura de outros aparelhos pressurizados especificados
1718;W39;Queima de fogos de artifício
1719;W40;Explosão de outros materiais
1720;W41;Exposição a um jato de alta pressão
1721;W42;Exposição ao ruído
1722;W43;Exposição à vibração
1723;W44;Penetração de corpo estranho no ou através de olho ou orifício natural
1724;W45;Penetração de corpo ou objeto estranho através da pele
1725;W46;Contato com agulha hipodérmica
1726;W49;Exposição a outras forças mecânicas inanimadas e às não especificadas
1727;W50;Golpe, pancada, pontapé, mordedura ou escoriação infligidos por outra pessoa
1728;W51;Colisão entre duas pessoas
1729;W52;Esmagado, empurrado ou pisoteado por multidão ou debandada em massa de pessoas
1730;W53;Mordedura de rato
1731;W54;Mordedura ou golpe provocado por cão
1732;W55;Mordedura ou golpe provocado por outros animais mamíferos
1733;W56;Contato com animais marinhos
1734;W57;Mordeduras e picadas de inseto e de outros artrópodes, não-venenosos
1735;W58;Mordedura ou golpe provocado por crocodilo ou aligátor
1736;W59;Mordedura ou esmagamento provocado por outros répteis
1737;W60;Contato com espinhos de plantas ou com folhas aguçadas
1738;W64;Exposição a outras forças mecânicas animadas e às não especificadas
1739;W65;Afogamento e submersão durante banho em banheira
1740;W66;Afogamento e submersão consecutiva a queda dentro de uma banheira
1741;W67;Afogamento e submersão em piscina
1742;W68;Afogamento e submersão conseqüente a queda dentro de uma piscina
1743;W69;Afogamento e submersão em águas naturais
1744;W70;Afogamento e submersão conseqüentes a queda dentro de águas naturais
1745;W73;Outros afogamentos e submersão especificados
1746;W74;Afogamento e submersão não especificados
1747;W75;Sufocação e estrangulamento acidental na cama
1748;W76;Outro enforcamento e estrangulamento acidental
1749;W77;Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias
1750;W78;Inalação do conteúdo gástrico
1751;W79;Inalação e ingestão de alimentos causando obstrução do trato respiratório
1752;W80;Inalação e ingestão de outros objetos causando obstrução do trato respiratório
1753;W81;Confinado ou aprisionado em um ambiente pobre em oxigênio
1754;W83;Outros riscos especificados à respiração
1755;W84;Riscos não especificados à respiração
1756;W85;Exposição a linhas de transmissão de corrente elétrica
1757;W86;Exposição a outra corrente elétrica especificada
1758;W87;Exposição a corrente elétrica não especificada
1759;W88;Exposição a radiação ionizante
1760;W89;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta
1761;W90;Exposição a outros tipos de radiação não-ionizante
1762;W91;Exposição a tipo não especificado de radiação
1763;W92;Exposição a um calor excessivo de origem artificial
1764;W93;Exposição a um frio excessivo de origem artificial
1765;W94;Exposição a alta, baixa e a variações da pressão atmosférica
1766;W99;Exposição a outros fatores ambientais artificiais e aos não especificados
1767;X00;Exposição a fogo não-controlado em um edifício ou outro tipo de construção
1768;X01;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção
1769;X02;Exposição a fogo controlado em um edifício ou outro tipo de construção
1770;X03;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção
1771;X04;Exposição a combustão de substância muito inflamável
1772;X05;Exposição a combustão de roupa de dormir
1773;X06;Exposição a combustão de outro tipo de roupa ou de acessórios
1774;X08;Exposição a outro tipo especificado de fumaça, fogo ou chamas
1775;X09;Exposição a tipo não especificado de fumaça, fogo ou chamas
1776;X10;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes
1777;X11;Contato com água corrente quente de torneira
1778;X12;Contato com outros líquidos quentes
1779;X13;Contato com vapor d'água e com vapores quentes
1780;X14;Contato com ar e gases quentes
1781;X15;Contato com aparelhos domésticos quentes
1782;X16;Contato com aquecedores, radiadores e tubulação
1783;X17;Contato com motores, máquinas e ferramentas quentes
1784;X18;Contato com outros metais quentes
1785;X19;Contato com outras fontes de calor ou com substâncias quentes não especificados
1786;X20;Contato com serpentes e lagartos venenosos
1787;X21;Contato com aranhas venenosas
1788;X22;Contato com escorpiões
1789;X23;Contato com abelhas, vespas e vespões
1790;X24;Contato com centopéias e miriápodes venenosas (tropicais)
1791;X25;Contato com outros artrópodes venenosos
1792;X26;Contato com animais e plantas marinhos venenosos
1793;X27;Contato com outros animais venenosos especificados
1794;X28;Contato com outras plantas venenosas especificadas
1795;X29;Contato com animais ou plantas venenosos, sem especificação
1796;X30;Exposição a calor natural excessivo
1797;X31;Exposição a frio natural excessivo
1798;X32;Exposição à luz solar
1799;X33;Vítima de raio
1800;X34;Vítima de terremoto
1801;X35;Vítima de erupção vulcânica
1802;X36;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre
1803;X37;Vítima de tempestade cataclísmica
1804;X38;Vítima de inundação
1805;X39;Exposição a outras forças da natureza e às não especificadas
1806;X40;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos
1807;X41;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte
1808;X42;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
1809;X43;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
1810;X44;Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas
1811;X45;Envenenamento [intoxicação] acidental por e exposição ao álcool
1812;X46;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores
1813;X47;Intoxicação acidental por e exposição a outros gases e vapores
1814;X48;Envenenamento [intoxicação] acidental por e exposição a pesticidas
1815;X49;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas
1816;X50;Excesso de exercícios e movimentos vigorosos ou repetitivos
1817;X51;Viagem e movimento
1818;X52;Estadia prolongada em ambiente agravitacional
1819;X53;Falta de alimento
1820;X54;Falta de água
1821;X57;Privação não especificada
1822;X58;Exposição a outros fatores especificados
1823;X59;Exposição a fatores não especificados
1824;X60;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos
1825;X61;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte
1826;X62;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
1827;X63;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
1828;X64;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas
1829;X65;Auto-intoxicação voluntária por álcool
1830;X66;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores
1831;X67;Auto-intoxicação intencional por outros gases e vapores
1832;X68;Auto-intoxicação por e exposição, intencional, a pesticidas
1833;X69;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas
1834;X70;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação
1835;X71;Lesão autoprovocada intencionalmente por afogamento e submersão
1836;X72;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão
1837;X73;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre
1838;X74;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
1839;X75;Lesão autoprovocada intencionalmente por dispositivos explosivos
1840;X76;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas
1841;X77;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes
1842;X78;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
1843;X79;Lesão autoprovocada intencionalmente por objeto contundente
1844;X80;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado
1845;X81;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento
1846;X82;Lesão autoprovocada intencionalmente por impacto de um veículo a motor
1847;X83;Lesão autoprovocada intencionalmente por outros meios especificados
1848;X84;Lesão autoprovocada intencionalmente por meios não especificados
1849;X85;Agressão por meio de drogas, medicamentos e substâncias biológicas
1850;X86;Agressão por meio de substâncias corrosivas
1851;X87;Agressão por pesticidas
1852;X88;Agressão por meio de gases e vapores
1853;X89;Agressão por meio de outros produtos químicos e substâncias nocivas especificados
1854;X90;Agressão por meio de produtos químicos e substâncias nocivas não especificados
1855;X91;Agressão por meio de enforcamento, estrangulamento e sufocação
1856;X92;Agressão por meio de afogamento e submersão
1857;X93;Agressão por meio de disparo de arma de fogo de mão
1858;X94;Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre
1859;X95;Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
1860;X96;Agressão por meio de material explosivo
1861;X97;Agressão por meio de fumaça, fogo e chamas
1862;X98;Agressão por meio de vapor de água, gases ou objetos quentes
1863;X99;Agressão por meio de objeto cortante ou penetrante
1864;Y00;Agressão por meio de um objeto contundente
1865;Y01;Agressão por meio de projeção de um lugar elevado
1866;Y02;Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento
1867;Y03;Agressão por meio de impacto de um veículo a motor
1868;Y04;Agressão por meio de força corporal
1869;Y05;Agressão sexual por meio de força física
1870;Y06;Negligência e abandono
1871;Y07;Outras síndromes de maus tratos
1872;Y08;Agressão por outros meios especificados
1873;Y09;Agressão por meios não especificados
1874;Y10;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada
1875;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada
1876;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada
1877;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada
1878;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada
1879;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada
1880;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada
1881;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada
1882;Y18;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada
1883;Y19;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada
1884;Y20;Enforcamento, estrangulamento e sufocação, intenção não determinada
1885;Y21;Afogamento e submersão, intenção não determinada
1886;Y22;Disparo de pistola, intenção não determinada
1887;Y23;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada
1888;Y24;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada
1889;Y25;Contato com material explosivo, intenção não determinada
1890;Y26;Exposição a fumaça, fogo e chamas, intenção não determinada
1891;Y27;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada
1892;Y28;Contato com objeto cortante ou penetrante, intenção não determinada
1893;Y29;Contato com objeto contundente, intenção não determinada
1894;Y30;Queda, salto ou empurrado de um lugar elevado, intenção não determinada
1895;Y31;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada
1896;Y32;Impacto de um veículo a motor, intenção não determinada
1897;Y33;Outros fatos ou eventos especificados, intenção não determinada
1898;Y34;Fatos ou eventos não especificados e intenção não determinada
1899;Y35;Intervenção legal
1900;Y36;Operações de guerra
1901;Y40;Efeitos adversos de antibióticos sistêmicos
1902;Y41;Efeitos adversos de outros antiinfecciosos e antiparasitários sistêmicos
1903;Y42;Efeitos adversos de hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte
1904;Y43;Efeitos adversos de substâncias de ação primariamente sistêmica
1905;Y44;Efeitos adversos de substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue
1906;Y45;Efeitos adversos de substâncias analgésicas, antipiréticas e antiinflamatórias
1907;Y46;Efeitos adversos de drogas anticonvulsivantes (antiepilépticas) e antiparkinsonianas
1908;Y47;Efeitos adversos de sedativos, hipnóticos e tranquilizantes [ansiolíticos]
1909;Y48;Efeitos adversos de anestésicos e gases terapêuticos
1910;Y49;Efeitos adversos de substâncias psicotrópicas, não classificadas em outra parte
1911;Y50;Efeitos adversos de estimulantes do sistema nervoso central, não classificados em outra parte
1912;Y51;Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso autônomo
1913;Y52;Efeitos adversos de substâncias que atuam primariamente sobre o aparelho cardiovascular
1914;Y53;Efeitos adversos de substâncias que atuam primariamente sobre o aparelho gastrointestinal
1915;Y54;Efeitos adversos de substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico
1916;Y55;Efeitos adversos de substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
1917;Y56;Efeitos adversos de substâncias de uso tópico que atuam primariamente sobre a pele e as membranas mucosas e drogas de uso oftalmológico, otorrinolaringológico e dentário
1918;Y57;Efeitos adversos de outras drogas e medicamentos e as não especificadas
1919;Y58;Efeitos adversos de vacinas bacterianas
1920;Y59;Efeitos adversos de outras vacinas e substâncias biológicas e as não especificadas
1921;Y60;Corte, punção, perfuração ou hemorragia acidentais durante a prestação de cuidados médicos ou cirúrgicos
1922;Y61;Objeto estranho deixado acidentalmente no corpo durante a prestação de cuidados cirúrgicos e médicos
1923;Y62;Assepsia insuficiente durante a prestação de cuidados cirúrgicos e médicos
1924;Y63;Erros de dosagem durante a prestação de cuidados médicos e cirúrgicos
1925;Y64;Medicamentos ou substâncias biológicas contaminados
1926;Y65;Outros acidentes durante a prestação de cuidados médicos e cirúrgicos
1927;Y66;Não administração de cuidado médico e cirúrgico
1928;Y69;Acidente não especificado durante a prestação de cuidado médico e cirúrgico
1929;Y70;Dispositivos (aparelhos) de anestesiologia, associados a incidentes adversos
1930;Y71;Dispositivos (aparelhos) cardiovasculares, associados a incidentes adversos
1931;Y72;Dispositivos (aparelhos) utilizados em otorrinolaringologia, associados a incidentes adversos
1932;Y73;Dispositivos (aparelhos) usados em gastroenterologia e em urologia, associados a incidentes adversos
1933;Y74;Dispositivos (aparelhos) gerais de uso hospitalar ou pessoal, associados a incidentes adversos
1934;Y75;Dispositivos (aparelhos) utilizados em neurologia, associados a incidentes adversos
1935;Y76;Dispositivos (aparelhos) utilizados em obstetrícia e em ginecologia, associados a incidentes adversos
1936;Y77;Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos
1937;Y78;Dispositivos (aparelhos) utilizados em radiologia, associados a incidentes adversos
1938;Y79;Dispositivos (aparelhos) ortopédicos, associado a incidentes adversos
1939;Y80;Dispositivos (aparelhos) utilizados em medicina física (fisiatria), associado a incidentes adversos
1940;Y81;Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia plástica, associados a incidente adversos
1941;Y82;Outros dispositivos (aparelhos) associados a incidentes adversos e os não especificados
1942;Y83;Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção
1943;Y84;Reação anormal em paciente ou complicação tardia, causadas por outros procedimentos médicos, sem menção de acidente durante o procedimento
1944;Y85;Seqüelas de acidentes de transporte
1945;Y86;Seqüelas de outros acidentes
1946;Y87;Seqüelas de uma lesão autoprovocada intencionalmente, de agressão ou de um fato cuja intenção é indeterminada
1947;Y88;Seqüelas de cuidado médico ou cirúrgico considerados como uma causa externa
1948;Y89;Seqüelas de outras causas externas
1949;Y90;Evidência de alcoolismo determinada por taxas de alcoolemia
1950;Y91;Evidência de alcoolismo determinada pelo nível da intoxicação
1951;Y95;Circunstância relativa as condições nosocomiais (hospitalares)
1952;Y96;Circunstância relativa às condições de trabalho
1953;Y97;Circunstâncias relativas a condições de poluição ambiental
1954;Y98;Circunstâncias relativas a condições do modo de vida
1955;Z00;Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado
1956;Z01;Outros exames e investigações especiais de pessoas sem queixa ou diagnóstico relatado
1957;Z02;Exame médico e consulta com finalidades administrativas
1958;Z03;Observação e avaliação médica por doenças e afecções suspeitas
1959;Z04;Exame e observação por outras razões
1960;Z08;Exame de seguimento após tratamento por neoplasia maligna
1961;Z09;Exame de seguimento após tratamento de outras afecções que não neoplasias malignas
1962;Z10;"Exame geral de rotina (""check up"") de uma subpopulação definida"
1963;Z11;"Exame especial de rastreamento (""screening"") de doenças infecciosas e parasitárias"
1964;Z12;"Exame especial de rastreamento (""screening"") de neoplasias"
1965;Z13;"Exame especial de rastreamento (""screening"") de outros transtornos e doenças"
1966;Z20;Contato com e exposição a doenças transmissíveis
1967;Z21;Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]
1968;Z22;Portador de doença infecciosa
1969;Z23;Necessidade de imunização contra uma única doença bacteriana
1970;Z24;Necessidade de imunização contra algumas doenças virais únicas
1971;Z25;Necessidade de imunização contra outras doenças virais únicas
1972;Z26;Necessidade de imunização contra outras doenças infecciosas únicas
1973;Z27;Necessidade de imunização associada contra combinações de doenças infecciosas
1974;Z28;Imunização não realizada
1975;Z29;Necessidade de outras medidas profiláticas
1976;Z30;Anticoncepção
1977;Z31;Medidas de procriação
1978;Z32;Exame ou teste de gravidez
1979;Z33;Gravidez como achado casual
1980;Z34;Supervisão de gravidez normal
1981;Z35;Supervisão de gravidez de alto risco
1982;Z36;"Rastreamento (""screening"") pré-natal"
1983;Z37;Resultado do parto
1984;Z38;Nascidos vivos [nado-vivos] segundo o local de nascimento
1985;Z39;Assistência e exame pós-natal
1986;Z40;Cirurgia profilática
1987;Z41;Procedimentos para outros propósitos exceto cuidados de saúde
1988;Z42;Seguimento envolvendo cirurgia plástica
1989;Z43;Atenção a orifícios artificiais
1990;Z44;Colocação e ajustamento de aparelhos de prótese externa
1991;Z45;Ajustamento e manuseio de dispositivo implantado
1992;Z46;Colocação e ajustamento de outros aparelhos
1993;Z47;Outros cuidados de seguimento ortopédico
1994;Z48;Outro seguimento cirúrgico
1995;Z49;Cuidados envolvendo diálise
1996;Z50;Cuidados envolvendo o uso de procedimentos de reabilitação
1997;Z51;Outros cuidados médicos
1998;Z52;Doadores de órgãos e tecidos
1999;Z53;Pessoas em contato com serviços de saúde para procedimentos específicos não realizados
2000;Z54;Convalescença
2001;Z55;Problemas relacionados com a educação e com a alfabetização
2002;Z56;Problemas relacionados com o emprego e com o desemprego
2003;Z57;Exposição ocupacional a fatores de risco
2004;Z58;Problemas relacionados com o ambiente físico
2005;Z59;Problemas relacionados com a habitação e com as condições econômicas
2006;Z60;Problemas relacionados com o meio social
2007;Z61;Problemas relacionados com eventos negativos de vida na infância
2008;Z62;Outros problemas relacionados com a educação da criança
2009;Z63;Outros problemas relacionados com o grupo primário de apoio, inclusive com a situação familiar
2010;Z64;Problemas relacionados com algumas outras circunstâncias psicossociais
2011;Z65;Problemas relacionados com outras circunstâncias psicossociais
2012;Z70;Aconselhamento relativo às atitudes, comportamento e orientação em matéria de sexualidade
2013;Z71;Pessoas em contato com os serviços de saúde para outros aconselhamentos e conselho médico, não classificados em outra parte
2014;Z72;Problemas relacionados com o estilo de vida
2015;Z73;Problemas relacionados com a organização de seu modo de vida
2016;Z74;Problemas relacionados com a dependência de uma pessoa que oferece cuidados de saúde
2017;Z75;Problemas relacionados com as facilidades médicas e outros cuidados de saúde
2018;Z76;Pessoas em contato com os serviços de saúde em outras circunstâncias
2019;Z80;História familiar de neoplasia maligna
2020;Z81;História familiar de transtornos mentais e comportamentais
2021;Z82;História familiar de algumas incapacidades e doenças crônicas que conduzem a incapacitação
2022;Z83;História familiar de outros transtornos específicos
2023;Z84;História familiar de outras afecções
2024;Z85;História pessoal de neoplasia maligna
2025;Z86;História pessoal de algumas outras doenças
2026;Z87;História pessoal de outras doenças e afecções
2027;Z88;História pessoal de alergia a drogas, medicamentos e a substâncias biológicas
2028;Z89;Ausência adquirida de membros
2029;Z90;Ausência adquirida de órgãos não classificados em outra parte
2030;Z91;História pessoal de fatores de risco, não classificados em outra parte
2031;Z92;História pessoal de tratamento médico
2032;Z93;Orifícios artificiais
2033;Z94;Órgãos e tecidos transplantados
2034;Z95;Presença de implantes e enxertos cardíacos e vasculares
2035;Z96;Presença de outros implantes funcionais
2036;Z97;Presença de outros dispositivos protéticos
2037;Z98;Outros estados pós-cirúrgicos
2038;Z99;Dependência de máquinas e dispositivos capacitantes, não classificados em outra parte
2039;U04;Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS]
2040;U80;Agente resistente à penicilina e antibióticos relacionados
2041;U81;Agente resistente à vancomicina e antibióticos relacionados
2042;U88;Agente resistente a múltiplos antibióticos
2043;U89;Agente resistente a outros antibióticos e a antibióticos não especificados
2044;U99;CID 10ª Revisão não disponível
